date;pm10;pm2.5;so2;co;o3;no2;max;critical component;category
12/29/2021;25;0;9;20;1;10;25;PM10;Baik
12/30/2021;10;0;10;20;2;11;20;CO;Baik
12/31/2021;13;0;9;20;2;10;20;CO;Baik
01/01/2022;16;0;8;18;1;11;18;CO;Baik
01/02/2022;10;0;8;16;1;11;16;CO;Baik
01/03/2022;11;0;9;17;1;11;17;CO;Baik
01/04/2022;19;0;9;19;1;10;19;PM10;Baik
01/05/2022;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN
01/06/2022;0;0;0;14;0;6;14;CO;Baik
01/07/2022;0;0;9;8;0;6;9;SO2;Baik
01/08/2022;0;0;29;8;0;8;29;SO2;Baik
01/09/2022;0;0;19;15;0;10;19;SO2;Baik
01/10/2022;0;0;17;18;0;12;18;CO;Baik
01/11/2022;0;0;13;17;0;12;17;CO;Baik
01/12/2022;0;0;13;20;0;11;20;CO;Baik
01/13/2022;6;0;15;22;0;12;22;CO;Baik
01/14/2022;24;0;19;24;0;13;24;PM10;Baik
01/15/2022;28;0;10;20;0;12;28;PM10;Baik
01/16/2022;33;0;15;23;0;14;33;PM10;Baik
01/17/2022;33;0;15;22;1;14;33;PM10;Baik
01/18/2022;25;0;15;22;3;14;25;PM10;Baik
01/19/2022;29;0;8;19;6;13;29;PM10;Baik
01/20/2022;25;2;10;19;8;14;25;PM10;Baik
01/21/2022;11;13;13;21;6;13;21;CO;Baik
01/22/2022;8;14;7;18;5;10;18;CO;Baik
01/23/2022;9;15;4;16;3;11;16;CO;Baik
01/24/2022;8;13;5;15;5;10;15;CO;Baik
01/25/2022;10;19;4;15;8;10;19;PM2.5;Baik
01/26/2022;14;28;5;18;8;10;28;PM2.5;Baik
01/27/2022;16;31;9;22;3;11;31;PM2.5;Baik
01/28/2022;14;27;8;20;3;11;27;PM2.5;Baik
01/29/2022;18;37;6;19;2;11;37;PM2.5;Baik
01/30/2022;24;50;5;19;3;13;50;PM2.5;Sedang
01/31/2022;17;34;7;18;2;12;34;PM2.5;Baik
02/01/2022;28;54;6;20;2;11;54;PM2.5;Sedang
02/02/2022;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN
02/03/2022;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN
02/04/2022;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN
02/05/2022;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN
02/06/2022;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN
02/07/2022;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN
02/08/2022;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN
02/09/2022;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN
02/10/2022;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN
02/11/2022;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN
02/12/2022;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN
02/13/2022;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN
02/14/2022;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN
02/15/2022;5;11;0;38;NaN;27;38;CO;Baik
02/16/2022;5;11;1;38;NaN;26;38;CO;Baik
02/17/2022;10;23;14;22;24;7;24;O3;Baik
02/18/2022;9;34;22;22;21;3;34;PM2.5;Baik
02/19/2022;10;46;18;21;22;2;46;PM2.5;Baik
02/20/2022;12;54;23;24;20;4;54;PM2.5;Sedang
02/21/2022;9;45;23;22;19;4;45;PM2.5;Baik
02/22/2022;10;48;18;21;21;2;48;PM2.5;Baik
02/23/2022;11;51;24;24;15;2;51;PM2.5;Sedang
02/24/2022;7;31;12;17;21;2;31;PM2.5;Baik
02/25/2022;6;24;11;16;24;2;24;O3;Baik
02/26/2022;5;18;12;17;25;2;25;O3;Baik
02/27/2022;7;26;15;19;23;2;26;PM2.5;Baik
02/28/2022;10;39;17;20;19;2;39;PM2.5;Baik
03/01/2022;7;29;15;17;18;2;29;PM2.5;Baik
03/02/2022;5;19;9;14;22;2;22;O3;Baik
03/03/2022;4;13;10;16;23;2;23;O3;Baik
03/04/2022;5;19;16;19;20;2;20;O3;Baik
03/05/2022;7;29;16;21;16;2;29;PM2.5;Baik
03/06/2022;5;17;13;17;17;2;17;PM2.5;Baik
03/07/2022;3;11;15;17;17;2;17;O3;Baik
03/08/2022;5;21;24;22;11;2;24;SO2;Baik
03/09/2022;5;21;19;20;13;2;21;PM2.5;Baik
03/10/2022;4;13;17;19;16;2;19;CO;Baik
03/11/2022;5;19;20;22;15;2;22;CO;Baik
03/12/2022;8;35;23;25;12;2;35;PM2.5;Baik
03/13/2022;10;43;24;24;11;2;43;PM2.5;Baik
03/14/2022;12;49;21;22;10;3;49;PM2.5;Baik
03/15/2022;6;23;18;19;12;2;23;PM2.5;Baik
03/16/2022;6;23;25;24;11;2;25;SO2;Baik
03/17/2022;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN
03/18/2022;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN
03/19/2022;8;36;23;24;10;3;36;PM2.5;Baik
03/20/2022;5;20;13;17;13;2;20;PM2.5;Baik
03/21/2022;4;17;14;16;14;2;17;PM2.5;Baik
03/22/2022;8;36;28;26;8;3;36;PM2.5;Baik
03/23/2022;8;38;19;22;8;3;38;PM2.5;Baik
03/24/2022;9;43;18;21;9;2;43;PM2.5;Baik
03/25/2022;9;44;28;27;6;3;44;PM2.5;Baik
03/26/2022;13;56;30;29;6;4;56;PM2.5;Sedang
03/27/2022;9;39;18;21;9;3;39;PM2.5;Baik
03/28/2022;13;54;21;23;7;3;54;PM2.5;Sedang
03/29/2022;11;48;20;24;7;3;48;PM2.5;Baik
03/30/2022;14;65;24;25;5;3;65;PM2.5;Sedang
03/31/2022;9;54;22;24;7;2;54;PM2.5;Sedang
04/01/2022;8;47;15;20;10;3;47;PM2.5;Baik
04/02/2022;7;46;22;25;8;3;46;PM2.5;Baik
04/03/2022;9;54;28;27;5;2;54;PM2.5;Sedang
04/04/2022;6;36;20;22;8;2;36;PM2.5;Baik
04/05/2022;4;24;15;19;11;2;24;PM2.5;Baik
04/06/2022;4;20;16;19;11;2;20;PM2.5;Baik
04/07/2022;6;33;21;22;7;2;33;PM2.5;Baik
04/08/2022;6;38;22;22;5;2;38;PM2.5;Baik
04/09/2022;6;38;21;21;4;2;38;PM2.5;Baik
04/10/2022;8;50;26;23;2;2;50;PM2.5;Baik
04/11/2022;8;49;39;30;1;2;49;PM2.5;Baik
04/12/2022;9;54;23;24;3;2;54;PM2.5;Sedang
04/13/2022;12;58;20;23;4;3;58;PM2.5;Sedang
04/14/2022;12;58;15;21;7;2;58;PM2.5;Sedang
04/15/2022;14;63;14;20;9;2;63;PM2.5;Sedang
04/16/2022;16;69;17;22;7;3;69;PM2.5;Sedang
04/17/2022;17;72;33;29;4;4;72;PM2.5;Sedang
04/18/2022;13;61;24;23;3;3;61;PM2.5;Sedang
04/19/2022;10;54;23;23;3;3;54;PM2.5;Sedang
04/20/2022;10;54;17;21;5;2;54;PM2.5;Sedang
04/21/2022;9;52;17;21;6;2;52;PM2.5;Sedang
04/22/2022;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN
04/23/2022;15;65;28;28;3;3;65;PM2.5;Sedang
04/24/2022;14;64;25;26;3;3;64;PM2.5;Sedang
04/25/2022;9;49;26;25;3;3;49;PM2.5;Baik
04/26/2022;15;63;26;25;2;3;63;PM2.5;Sedang
04/27/2022;38;76;39;33;2;3;76;PM2.5;Sedang
04/28/2022;37;70;25;25;2;3;70;PM2.5;Sedang
04/29/2022;37;70;22;25;3;3;70;PM2.5;Sedang
04/30/2022;29;62;21;23;2;3;62;PM2.5;Sedang
05/01/2022;29;62;28;26;2;4;62;PM2.5;Sedang
05/02/2022;25;57;21;23;3;2;57;PM2.5;Sedang
05/03/2022;24;56;15;19;3;2;56;PM2.5;Sedang
05/04/2022;15;40;13;17;4;2;40;PM2.5;Baik
05/05/2022;21;52;13;19;3;2;52;PM2.5;Sedang
05/06/2022;29;61;22;26;2;3;61;PM2.5;Sedang
05/07/2022;25;57;29;30;1;3;57;PM2.5;Sedang
05/08/2022;22;53;25;25;1;3;53;PM2.5;Sedang
05/09/2022;22;53;24;24;1;3;53;PM2.5;Sedang
05/10/2022;24;55;27;27;1;3;55;PM2.5;Sedang
05/11/2022;39;72;24;25;1;3;72;PM2.5;Sedang
05/12/2022;27;59;16;20;2;3;59;PM2.5;Sedang
05/13/2022;17;45;12;18;3;2;45;PM2.5;Baik
05/14/2022;14;37;12;20;3;2;37;PM2.5;Baik
05/15/2022;20;52;16;19;3;2;52;PM2.5;Sedang
05/16/2022;22;54;24;18;8;2;54;PM2.5;Sedang
05/17/2022;19;52;25;17;7;2;52;PM2.5;Sedang
05/18/2022;27;64;32;23;3;2;64;PM2.5;Sedang
05/19/2022;21;56;19;23;1;5;56;PM2.5;Sedang
05/20/2022;18;52;0;22;0;5;52;PM2.5;Sedang
05/21/2022;13;43;0;19;0;3;43;PM2.5;Baik
05/22/2022;16;50;0;20;1;3;50;PM2.5;Baik
05/23/2022;24;61;0;24;1;4;61;PM2.5;Sedang
05/24/2022;36;76;0;24;2;3;76;PM2.5;Sedang
05/25/2022;25;61;0;23;2;4;61;PM2.5;Sedang
05/26/2022;29;67;0;25;1;5;67;PM2.5;Sedang
05/27/2022;14;43;0;22;1;3;43;PM2.5;Baik
05/28/2022;17;49;0;23;0;0;49;PM2.5;Baik
05/29/2022;28;66;0;23;0;0;66;PM2.5;Sedang
05/30/2022;30;69;0;24;1;1;69;PM2.5;Sedang
05/31/2022;31;70;0;24;7;2;70;PM2.5;Sedang
06/01/2022;15;43;0;18;14;2;43;PM2.5;Baik
06/02/2022;16;50;0;25;9;3;50;PM2.5;Baik
06/03/2022;11;34;0;21;7;3;34;PM2.5;Baik
06/04/2022;18;52;0;30;3;3;52;PM2.5;Sedang
06/05/2022;18;53;0;22;2;3;53;PM2.5;Sedang
06/06/2022;27;66;0;25;2;4;66;PM2.5;Sedang
06/07/2022;32;71;0;29;1;3;71;PM2.5;Sedang
06/08/2022;41;84;0;26;3;5;84;PM2.5;Sedang
06/09/2022;19;55;0;23;3;5;55;PM2.5;Sedang
06/10/2022;36;77;0;24;4;4;77;PM2.5;Sedang
06/11/2022;36;77;0;25;5;5;77;PM2.5;Sedang
06/12/2022;26;63;0;24;2;5;63;PM2.5;Sedang
06/13/2022;23;60;0;25;0;5;60;PM2.5;Sedang
06/14/2022;23;60;0;25;0;4;60;PM2.5;Sedang
06/15/2022;29;68;0;31;0;4;68;PM2.5;Sedang
06/16/2022;35;75;0;22;0;3;75;PM2.5;Sedang
06/17/2022;30;68;0;26;0;3;68;PM2.5;Sedang
06/18/2022;21;57;0;23;0;3;57;PM2.5;Sedang
06/19/2022;20;56;0;24;0;4;56;PM2.5;Sedang
06/20/2022;25;63;0;22;0;4;63;PM2.5;Sedang
06/21/2022;25;62;0;24;0;3;62;PM2.5;Sedang
06/22/2022;18;57;2;20;0;3;57;PM2.5;Sedang
06/23/2022;13;69;9;21;0;3;69;PM2.5;Sedang
06/24/2022;19;23;9;19;0;4;23;PM2.5;Baik
06/25/2022;22;27;9;20;0;4;27;PM2.5;Baik
06/26/2022;25;29;13;22;0;4;29;PM2.5;Baik
06/27/2022;18;22;12;20;0;4;22;PM2.5;Baik
06/28/2022;10;13;6;17;0;3;17;CO;Baik
06/29/2022;17;21;8;20;0;4;21;PM2.5;Baik
06/30/2022;19;24;9;20;0;4;24;PM2.5;Baik
07/01/2022;28;35;14;23;0;5;35;PM2.5;Baik
07/02/2022;22;26;11;21;0;3;26;PM2.5;Baik
07/03/2022;18;22;8;18;0;3;22;PM2.5;Baik
07/04/2022;30;36;12;21;0;4;36;PM2.5;Baik
07/05/2022;46;52;5;24;0;5;52;PM2.5;Sedang
07/06/2022;43;72;0;23;0;4;72;PM2.5;Sedang
07/07/2022;21;55;0;22;0;4;55;PM2.5;Sedang
07/08/2022;10;30;0;18;0;4;30;PM2.5;Baik
07/09/2022;12;35;0;18;0;4;35;PM2.5;Baik
07/10/2022;20;53;0;18;0;3;53;PM2.5;Sedang
07/11/2022;35;70;0;23;0;4;70;PM2.5;Sedang
07/12/2022;32;66;0;23;0;3;66;PM2.5;Sedang
07/13/2022;26;61;0;21;0;3;61;PM2.5;Sedang
07/14/2022;24;58;0;22;0;4;58;PM2.5;Sedang
07/15/2022;23;57;0;20;0;3;57;PM2.5;Sedang
07/16/2022;26;60;0;22;0;4;60;PM2.5;Sedang
07/17/2022;22;55;0;20;0;4;55;PM2.5;Sedang
07/18/2022;29;64;0;20;0;4;64;PM2.5;Sedang
07/19/2022;21;55;0;20;0;4;55;PM2.5;Sedang
07/20/2022;33;68;0;22;0;3;68;PM2.5;Sedang
07/21/2022;26;60;0;20;0;4;60;PM2.5;Sedang
07/22/2022;20;54;0;20;0;5;54;PM2.5;Sedang
07/23/2022;22;55;0;21;0;4;55;PM2.5;Sedang
07/24/2022;13;37;0;15;0;3;37;PM2.5;Baik
07/25/2022;15;43;0;18;0;4;43;PM2.5;Baik
07/26/2022;22;55;0;20;0;4;55;PM2.5;Sedang
07/27/2022;36;72;0;22;0;5;72;PM2.5;Sedang
07/28/2022;38;73;0;23;0;5;73;PM2.5;Sedang
07/29/2022;42;79;0;24;0;5;79;PM2.5;Sedang
07/30/2022;40;75;0;20;0;4;75;PM2.5;Sedang
07/31/2022;35;70;0;19;0;5;70;PM2.5;Sedang
08/01/2022;50;89;0;23;0;5;89;PM2.5;Sedang
08/02/2022;45;82;0;22;0;6;82;PM2.5;Sedang
08/03/2022;42;79;0;23;0;5;79;PM2.5;Sedang
08/04/2022;25;58;0;19;0;3;58;PM2.5;Sedang
08/05/2022;17;49;0;18;0;3;49;PM2.5;Baik
08/06/2022;17;49;0;19;0;3;49;PM2.5;Baik
08/07/2022;9;26;0;16;0;2;26;PM2.5;Baik
08/08/2022;12;36;0;18;0;3;36;PM2.5;Baik
08/09/2022;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN
08/10/2022;11;33;7;17;0;2;33;PM2.5;Baik
08/11/2022;15;43;10;19;0;3;43;PM2.5;Baik
08/12/2022;15;45;11;20;0;3;45;PM2.5;Baik
08/13/2022;19;52;4;19;0;3;52;PM2.5;Sedang
08/14/2022;20;53;0;20;0;3;53;PM2.5;Sedang
08/15/2022;32;68;0;24;0;4;68;PM2.5;Sedang
08/16/2022;35;72;0;25;0;3;72;PM2.5;Sedang
08/17/2022;20;53;0;21;0;3;53;PM2.5;Sedang
08/18/2022;13;38;0;18;0;4;38;PM2.5;Baik
08/19/2022;17;48;2;19;0;4;48;PM2.5;Baik
08/20/2022;17;49;0;18;0;3;49;PM2.5;Baik
08/21/2022;19;53;0;16;0;4;53;PM2.5;Sedang
08/22/2022;26;60;0;20;0;4;60;PM2.5;Sedang
08/23/2022;23;57;0;21;0;4;57;PM2.5;Sedang
08/24/2022;25;60;0;21;0;5;60;PM2.5;Sedang
08/25/2022;18;50;1;19;0;5;50;PM2.5;Baik
08/26/2022;23;58;7;19;1;6;58;PM2.5;Sedang
08/27/2022;21;57;NaN;9;15;6;57;PM2.5;Sedang
08/28/2022;13;39;5;10;28;5;39;PM2.5;Baik
08/29/2022;15;45;7;12;14;4;45;PM2.5;Baik
08/30/2022;16;47;10;14;16;4;47;PM2.5;Baik
08/31/2022;17;49;13;16;18;3;49;PM2.5;Baik
09/01/2022;19;53;17;18;17;3;53;PM2.5;Sedang
09/02/2022;22;56;15;14;23;3;56;PM2.5;Sedang
09/03/2022;20;54;12;11;27;3;54;PM2.5;Sedang
09/04/2022;16;49;12;12;25;2;49;PM2.5;Baik
09/05/2022;19;52;12;12;26;3;52;PM2.5;Sedang
09/06/2022;21;55;14;14;28;3;55;PM2.5;Sedang
09/07/2022;25;60;14;15;22;2;60;PM2.5;Sedang
09/08/2022;19;53;7;9;13;0;53;PM2.5;Sedang
09/09/2022;22;56;20;16;8;0;56;PM2.5;Sedang
09/10/2022;20;53;21;12;7;0;53;PM2.5;Sedang
09/11/2022;13;39;21;9;6;0;39;PM2.5;Baik
09/12/2022;28;63;31;12;6;0;63;PM2.5;Sedang
09/13/2022;20;54;30;6;10;0;54;PM2.5;Sedang
09/14/2022;17;53;5;12;13;3;53;PM2.5;Sedang
09/15/2022;16;44;0;9;27;2;44;PM2.5;Baik
09/16/2022;16;35;5;10;30;2;35;PM2.5;Baik
09/17/2022;16;55;28;16;27;3;55;PM2.5;Sedang
09/18/2022;16;48;17;8;20;2;48;PM2.5;Baik
09/19/2022;16;41;0;0;0;0;41;PM2.5;Baik
09/20/2022;16;34;1;1;1;0;34;PM2.5;Baik
09/21/2022;14;44;1;1;1;0;44;PM2.5;Baik
09/22/2022;14;38;0;0;0;0;38;PM2.5;Baik
09/23/2022;15;40;4;3;5;1;40;PM2.5;Baik
09/24/2022;14;41;22;13;26;3;41;PM2.5;Baik
09/25/2022;12;33;16;8;29;2;33;PM2.5;Baik
09/26/2022;12;36;13;7;31;2;36;PM2.5;Baik
09/27/2022;12;35;15;10;29;2;35;PM2.5;Baik
09/28/2022;15;44;15;11;27;3;44;PM2.5;Baik
09/29/2022;14;40;14;10;27;2;40;PM2.5;Baik
09/30/2022;13;46;13;10;22;3;46;PM2.5;Baik
10/01/2022;11;41;1;1;1;0;41;PM2.5;Baik
10/02/2022;11;39;0;0;0;0;39;PM2.5;Baik
10/03/2022;10;22;3;2;3;1;22;PM2.5;Baik
10/04/2022;2;2;18;13;20;3;20;O3;Baik
10/05/2022;1;0;20;15;21;3;21;O3;Baik
10/06/2022;1;0;20;14;21;2;21;O3;Baik
10/07/2022;2;0;18;14;18;2;18;O3;Baik
10/08/2022;6;0;3;3;3;0;6;PM10;Baik
10/09/2022;7;0;0;0;0;0;7;PM10;Baik
10/10/2022;9;0;3;3;2;0;9;PM10;Baik
10/11/2022;12;0;16;12;11;2;16;SO2;Baik
10/12/2022;12;0;16;14;14;3;16;SO2;Baik
10/13/2022;9;0;13;11;18;2;18;O3;Baik
10/14/2022;8;0;13;13;17;3;17;O3;Baik
10/15/2022;8;0;15;13;16;2;16;O3;Baik
10/16/2022;12;0;20;16;15;2;20;SO2;Baik
10/17/2022;8;0;16;9;19;1;19;O3;Baik
10/18/2022;9;0;20;18;15;3;20;SO2;Baik
10/19/2022;15;0;27;23;9;3;27;SO2;Baik
10/20/2022;9;0;5;5;2;2;9;PM10;Baik
10/21/2022;6;0;4;5;3;4;6;PM10;Baik
10/22/2022;4;0;2;3;2;2;4;PM10;Baik
10/23/2022;16;0;18;12;17;9;18;SO2;Baik
10/24/2022;11;0;14;9;19;8;19;O3;Baik
10/25/2022;6;0;13;10;19;8;19;O3;Baik
10/26/2022;5;0;14;11;17;8;17;O3;Baik
10/27/2022;5;0;11;10;18;8;18;O3;Baik
10/28/2022;12;0;14;13;19;9;19;O3;Baik
10/29/2022;16;0;17;17;17;11;17;O3;Baik
10/30/2022;12;0;10;11;16;10;16;O3;Baik
10/31/2022;10;0;9;10;18;10;18;O3;Baik
11/01/2022;9;0;9;11;16;10;16;O3;Baik
11/02/2022;11;0;4;5;5;3;11;PM10;Baik
11/03/2022;14;0;13;11;16;9;16;O3;Baik
11/04/2022;14;0;16;15;18;10;18;O3;Baik
11/05/2022;12;0;10;10;15;9;15;O3;Baik
11/06/2022;9;0;1;1;1;1;9;PM10;Baik
11/07/2022;9;0;0;0;0;0;9;PM10;Baik
11/08/2022;6;0;0;0;0;0;6;PM10;Baik
11/09/2022;20;0;28;30;8;12;30;CO;Baik
11/10/2022;23;0;27;25;8;11;27;SO2;Baik
11/11/2022;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN
11/12/2022;16;0;15;19;8;11;19;CO;Baik
11/13/2022;13;0;18;19;11;12;19;CO;Baik
11/14/2022;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN
11/15/2022;16;0;16;20;9;11;20;CO;Baik
11/16/2022;13;0;12;16;9;12;16;CO;Baik
11/17/2022;21;0;32;29;9;13;32;SO2;Baik
11/18/2022;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN
11/19/2022;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN
11/20/2022;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN
11/21/2022;9;0;11;9;14;8;14;O3;Baik
11/22/2022;11;0;10;11;8;8;11;CO;Baik
11/23/2022;11;0;17;15;9;7;17;SO2;Baik
11/24/2022;9;0;18;13;10;7;18;SO2;Baik
11/25/2022;14;5;26;17;12;9;26;SO2;Baik
11/26/2022;19;50;48;18;23;10;50;PM2.5;Baik
11/27/2022;10;36;44;11;24;14;44;SO2;Baik
11/28/2022;8;28;25;11;15;29;29;NO2;Baik
11/29/2022;11;41;28;18;19;30;41;PM2.5;Baik
11/30/2022;7;25;22;13;20;27;27;NO2;Baik
12/01/2022;9;32;33;27;16;27;33;SO2;Baik
12/02/2022;13;48;29;22;21;28;48;PM2.5;Baik
12/03/2022;13;47;27;19;22;29;47;PM2.5;Baik
12/04/2022;14;47;32;26;19;29;47;PM2.5;Baik
12/05/2022;17;54;32;25;18;30;54;PM2.5;Sedang
12/06/2022;18;56;26;25;15;33;56;PM2.5;Sedang
12/07/2022;25;64;37;33;21;35;64;PM2.5;Sedang
12/08/2022;19;57;26;23;26;35;57;PM2.5;Sedang
12/09/2022;22;61;25;24;28;37;61;PM2.5;Sedang
12/10/2022;18;56;25;22;26;35;56;PM2.5;Sedang
12/11/2022;14;50;25;21;23;33;50;PM2.5;Baik
12/12/2022;12;42;14;13;21;33;42;PM2.5;Baik
12/13/2022;11;40;11;12;12;31;40;PM2.5;Baik
12/14/2022;15;50;21;23;24;34;50;PM2.5;Sedang
12/15/2022;14;50;25;25;22;34;50;PM2.5;Baik
12/16/2022;11;42;21;19;24;34;42;PM2.5;Baik
12/17/2022;14;51;29;26;20;33;51;PM2.5;Sedang
12/18/2022;14;50;22;19;24;32;50;PM2.5;Baik
12/19/2022;17;54;24;21;23;31;54;PM2.5;Sedang
12/20/2022;22;61;23;21;22;33;61;PM2.5;Sedang
12/21/2022;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN
12/22/2022;9;35;18;14;30;38;38;NO2;Baik
12/23/2022;7;27;16;16;23;38;38;NO2;Baik
12/24/2022;12;43;15;17;23;40;43;PM2.5;Baik
12/25/2022;17;54;16;19;26;42;54;PM2.5;Sedang
12/26/2022;18;56;19;22;21;40;56;PM2.5;Sedang
12/27/2022;12;43;22;23;13;36;43;PM2.5;Baik
12/28/2022;13;49;24;23;14;37;49;PM2.5;Baik
12/29/2022;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN
12/30/2022;26;67;24;21;1;40;67;PM2.5;Sedang
12/31/2022;27;69;18;16;3;41;69;PM2.5;Sedang
